timestamp,timeframe,indicator,temporal
2025-01-02,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 12295.752391645108, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": 0.43388373911755823, ""time_cos"": -0.900968867902419, ""return_1"": 0.015246586703351328, ""time_volatility"": 0.0030787586972233594}"
2025-01-03,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 26356.33446005269, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": -0.433883739117558, ""time_cos"": -0.9009688679024191, ""return_1"": 0.015246586703351328, ""time_volatility"": 0.0030787586972233594}"
2025-01-04,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 42035.868729826165, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": -0.9749279121818236, ""time_cos"": -0.2225209339563146, ""return_1"": 0.011960741930556296, ""time_volatility"": 0.0030787586972233594}"
2025-01-05,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 59199.51738274115, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": -0.7818314824680299, ""time_cos"": 0.6234898018587334, ""return_1"": 0.009093821365807164, ""time_volatility"": 0.0030787586972233594}"
2025-01-06,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 77722.80889572814, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": 0.0, ""time_cos"": 1.0, ""return_1"": 0.006595413285602536, ""time_volatility"": 0.0026847727379977187}"
2025-01-07,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 97490.97764624773, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": 0.7818314824680298, ""time_cos"": 0.6234898018587336, ""return_1"": 0.004422468252787137, ""time_volatility"": 0.002337565434285238}"
2025-01-08,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 118398.32215914855, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": 0.9749279121818236, ""time_cos"": -0.22252093395631434, ""return_1"": 0.0025378547171692745, ""time_volatility"": 0.0020304859775653614}"
2025-01-09,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 140347.5862663941, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": 0.43388373911755823, ""time_cos"": -0.900968867902419, ""return_1"": 0.0009092680416626919, ""time_volatility"": 0.001758154262368943}"
2025-01-10,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 117445.80634356938, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": -0.433883739117558, ""time_cos"": -0.9009688679024191, ""return_1"": -0.0004916090562550046, ""time_volatility"": 0.0015161575312610685}"
2025-01-11,1d,"{""ema_20"": 98481.08760573328, ""ema_50"": 90797.0475038455, ""macd"": -1340.4909474723681, ""macd_signal"": -1980.9008518524372, ""adx_14"": 0.0, ""rsi_14"": 59.80550337288448, ""stoch_k"": 69.04952051261535, ""roc_10"": 4.66661213510159, ""bb_upper"": 102801.06511695556, ""bb_lower"": 95872.54537182413, ""bb_width"": 0.0721152446634048, ""atr_14"": 0.0, ""obv"": 93673.62691347805, ""vwap"": 100223.07461507208, ""vol_ma_20"": 22938.82832660072, ""ema_slope_20"": -288.17699686253036, ""rsi_regime"": 0, ""volatility_state"": 0.0}","{""time_sin"": -0.9749279121818236, ""time_cos"": -0.2225209339563146, ""return_1"": -0.0016897727664946238, ""time_volatility"": 0.0013008372971841692}"
